Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,4072.0512695313,4289.4873046875,4102.5639648438,4039.7436523438,4153.0771484375,4036.7949218750,4102.4360351563,4033.9743652344,4054.7436523438,4103.0771484375,4068.0769042969,4087.0512695313,4066.0256347656,4025.7692871094,,,
0.0078125000,0,4077.3076171875,4286.7949218750,4112.0512695313,4048.8461914063,4153.8461914063,4041.5385742188,4102.0512695313,4041.2819824219,4057.5642089844,4103.0771484375,4074.6154785156,4090.1281738281,4070.2563476563,4028.9743652344,,,
0.0156250000,0,4087.3076171875,4287.6923828125,4125.2563476563,4064.4870605469,4154.2309570313,4052.0512695313,4101.4101562500,4048.9743652344,4062.8205566406,4103.0771484375,4085.1281738281,4098.2050781250,4074.6154785156,4037.1794433594,,,
0.0234375000,0,4095.8974609375,4291.0258789063,4133.3334960938,4074.7436523438,4154.2309570313,4058.4614257813,4101.2822265625,4052.5642089844,4066.9230957031,4103.0771484375,4093.5898437500,4105.5126953125,4073.9743652344,4043.5898437500,,,
0.0312500000,0,4098.4614257813,4294.1025390625,4131.1538085938,4072.4357910156,4153.7177734375,4054.4870605469,4101.9228515625,4050.2563476563,4066.4101562500,4103.0771484375,4093.5898437500,4107.1796875000,4067.0512695313,4042.6923828125,,,
0.0390625000,0,4095.2563476563,4295.3847656250,4121.0258789063,4060.0000000000,4153.0771484375,4043.4614257813,4102.6923828125,4044.6154785156,4061.2819824219,4103.0771484375,4084.4870605469,4102.3076171875,4057.6923828125,4035.0000000000,,,
0.0468750000,0,4090.0000000000,4295.5126953125,4109.8715820313,4046.5385742188,4152.6923828125,4034.3588867188,4102.9487304688,4039.6154785156,4055.1281738281,4103.0771484375,4072.4357910156,4095.5129394531,4052.8205566406,4026.7949218750,,,
0.0546875000,0,4087.1794433594,4295.6411132813,4104.6152343750,4040.6411132813,4152.5639648438,4034.3588867188,4102.6923828125,4038.2050781250,4051.4101562500,4103.0771484375,4066.7949218750,4092.1794433594,4056.6667480469,4024.6154785156,,,
0.0625000000,0,4088.0769042969,4296.7949218750,4107.5639648438,4045.3845214844,4152.9487304688,4042.6923828125,4102.4360351563,4040.0000000000,4051.6667480469,4103.0771484375,4073.4614257813,4094.7436523438,4066.6667480469,4030.6411132813,,,
0.0703125000,0,4091.6667480469,4299.4873046875,4116.7949218750,4058.0769042969,4153.3334960938,4052.9487304688,4102.8203125000,4043.0769042969,4055.0000000000,4103.0771484375,4089.6154785156,4102.0512695313,4076.0256347656,4041.1538085938,,,
0.0781250000,0,4095.5129394531,4303.8461914063,4128.3334960938,4072.3076171875,4153.5898437500,4058.8461914063,4103.9741210938,4046.2819824219,4060.1281738281,4103.0771484375,4105.8974609375,4110.5126953125,4080.1281738281,4049.7436523438,,,
0.0859375000,0,4097.9487304688,4308.3334960938,4137.9487304688,4081.6667480469,4153.7177734375,4059.1025390625,4105.2563476563,4049.8718261719,4065.8974609375,4103.0771484375,4112.0512695313,4115.2563476563,4078.9743652344,4051.7949218750,,,
0.0937500000,0,4098.0771484375,4310.3847656250,4142.8203125000,4083.4614257813,4153.8461914063,4057.5642089844,4105.7690429688,4053.2050781250,4070.8974609375,4103.0771484375,4104.7436523438,4114.1025390625,4075.5129394531,4046.9230957031,,,
0.1015625000,0,4095.8974609375,4307.5639648438,4142.0512695313,4078.9743652344,4154.1025390625,4057.9487304688,4105.3847656250,4054.8718261719,4073.5898437500,4103.0771484375,4089.3588867188,4108.4614257813,4071.4101562500,4038.7180175781,,,
0.1093750000,0,4092.6923828125,4299.4873046875,4136.5385742188,4071.4101562500,4154.4873046875,4060.5129394531,4104.6152343750,4054.2307128906,4072.8205566406,4103.0771484375,4076.0256347656,4102.4360351563,4066.7949218750,4032.3076171875,,,
0.1171875000,0,4090.1281738281,4289.1025390625,4128.7177734375,4063.0769042969,4154.6152343750,4061.6667480469,4104.1025390625,4051.9230957031,4068.4614257813,4103.0771484375,4071.9230957031,4098.9741210938,4061.7949218750,4030.7692871094,,,
0.1250000000,0,4089.3588867188,4280.8974609375,4121.2822265625,4055.3845214844,4154.4873046875,4058.7180175781,4104.3588867188,4049.6154785156,4062.0512695313,4103.0771484375,4076.1538085938,4098.3334960938,4058.5898437500,4033.9743652344,,,
0.1328125000,0,4090.0000000000,4279.2309570313,4117.1796875000,4050.8974609375,4154.1025390625,4052.4357910156,4105.1284179688,4048.7180175781,4056.4101562500,4103.0771484375,4082.4357910156,4098.8461914063,4059.3588867188,4039.7436523438,,,
0.1406250000,0,4091.0256347656,4285.7690429688,4117.5639648438,4052.8205566406,4153.7177734375,4046.7949218750,4105.1284179688,4049.2307128906,4054.3588867188,4103.0771484375,4084.7436523438,4099.3588867188,4063.4614257813,4045.2563476563,,,
0.1484375000,0,4092.0512695313,4298.0771484375,4120.8974609375,4061.9230957031,4153.5898437500,4045.2563476563,4103.9741210938,4050.1281738281,4056.6667480469,4103.0771484375,4082.1794433594,4100.3847656250,4067.1794433594,4047.9487304688,,,
0.1562500000,0,4092.6923828125,4310.1284179688,4124.3588867188,4073.4614257813,4153.5898437500,4047.9487304688,4102.3076171875,4050.6411132813,4061.0256347656,4103.0771484375,4078.2050781250,4101.9228515625,4066.7949218750,4046.9230957031,,,
0.1640625000,0,4093.0769042969,4315.6411132813,4124.8715820313,4080.6411132813,4153.5898437500,4053.0769042969,4101.2822265625,4051.1538085938,4064.6154785156,4103.0771484375,4077.8205566406,4103.3334960938,4062.8205566406,4042.6923828125,,,
0.1718750000,0,4093.3332519531,4312.1796875000,4122.5639648438,4080.3845214844,4153.4614257813,4059.6154785156,4101.5385742188,4053.2050781250,4066.0256347656,4103.0771484375,4083.0769042969,4103.9741210938,4059.1025390625,4038.2050781250,,,
