Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.0000000000,0,3150.6411132813,3147.5642089844,3144.7436523438,3152.0512695313,3142.0512695313,3139.7436523438,3137.0512695313,3140.0000000000,3143.5898437500,3150.6411132813,3205.2563476563,4118.9741210938,3150.7692871094,3156.5385742188,,,
0.0078125000,0,3149.1025390625,3148.5898437500,3155.3845214844,3156.1538085938,3144.1025390625,3143.2050781250,3138.7180175781,3139.7436523438,3142.5642089844,3150.6411132813,3202.6923828125,4119.8715820313,3142.5642089844,3150.5129394531,,,
0.0156250000,0,3153.3332519531,3155.1281738281,3143.3332519531,3154.1025390625,3146.0256347656,3143.5898437500,3137.8205566406,3141.5385742188,3145.3845214844,3152.5642089844,3204.8718261719,4118.2050781250,3161.0256347656,3164.7436523438,,,
0.0234375000,0,3150.1281738281,3149.7436523438,3156.2819824219,3159.1025390625,3148.9743652344,3144.3588867188,3138.9743652344,3140.5129394531,3145.6411132813,3154.6154785156,3207.0512695313,4124.6152343750,3145.2563476563,3150.2563476563,,,
0.0312500000,0,3158.8461914063,3152.3076171875,3149.8718261719,3157.5642089844,3148.2050781250,3145.0000000000,3141.1538085938,3139.6154785156,3147.3076171875,3155.8974609375,3207.6923828125,4125.2563476563,3149.2307128906,3158.2050781250,,,
0.0390625000,0,3156.6667480469,3153.8461914063,3151.7949218750,3155.7692871094,3148.4614257813,3141.4101562500,3141.2819824219,3141.2819824219,3150.0000000000,3153.8461914063,3207.1794433594,4123.7177734375,3156.6667480469,3163.4614257813,,,
0.0468750000,0,3150.3845214844,3153.7180175781,3162.8205566406,3162.3076171875,3151.4101562500,3145.1281738281,3142.6923828125,3141.7949218750,3148.9743652344,3153.3332519531,3207.5642089844,4127.3076171875,3143.4614257813,3151.0256347656,,,
0.0546875000,0,3158.0769042969,3157.5642089844,3145.6411132813,3163.0769042969,3147.8205566406,3148.8461914063,3141.9230957031,3142.4357910156,3147.5642089844,3155.8974609375,3213.2050781250,4127.5639648438,3160.3845214844,3166.6667480469,,,
0.0625000000,0,3154.1025390625,3154.1025390625,3163.7180175781,3169.4870605469,3151.9230957031,3147.4357910156,3145.2563476563,3143.5898437500,3147.6923828125,3158.0769042969,3214.3588867188,4128.8461914063,3148.3332519531,3157.5642089844,,,
0.0703125000,0,3158.2050781250,3159.3588867188,3159.4870605469,3166.7949218750,3155.5129394531,3149.4870605469,3147.3076171875,3145.8974609375,3152.4357910156,3161.1538085938,3214.3588867188,4127.3076171875,3151.2819824219,3161.1538085938,,,
