trial,timestamp,target,stimulus,is_target
0,1752160924.136585,0,0,1
0,1752160924.237363,0,1,0
0,1752160924.3377354,0,2,0
0,1752160924.4396617,0,2,0
0,1752160924.5408568,0,0,1
0,1752160924.64204,0,1,0
0,1752160924.7432268,0,2,0
0,1752160924.8445523,0,0,1
0,1752160924.94596,0,1,0
0,1752160925.047818,0,2,0
0,1752160925.1496983,0,0,1
0,1752160925.251081,0,1,0
0,1752160925.352127,0,1,0
0,1752160925.4538012,0,0,1
0,1752160925.5557249,0,2,0
0,1752160925.6570954,0,1,0
0,1752160925.7575133,0,2,0
0,1752160925.8594885,0,0,1
0,1752160925.9598835,0,1,0
0,1752160926.061022,0,2,0
0,1752160926.162656,0,0,1
0,1752160926.2655566,0,1,0
0,1752160926.367351,0,0,1
0,1752160926.4675386,0,2,0
0,1752160926.568696,0,1,0
0,1752160926.6691556,0,2,0
0,1752160926.770418,0,0,1
0,1752160926.8717463,0,0,1
0,1752160926.9729376,0,2,0
0,1752160927.0742254,0,1,0
0,1752160927.1755533,0,1,0
0,1752160927.2767518,0,2,0
0,1752160927.3785655,0,0,1
0,1752160927.4798129,0,2,0
0,1752160927.581127,0,0,1
0,1752160927.682454,0,1,0
1,1752160929.6313136,2,1,0
1,1752160929.7320514,2,0,0
1,1752160929.833753,2,2,1
1,1752160929.9348876,2,1,0
1,1752160930.0366251,2,0,0
1,1752160930.1379783,2,2,1
1,1752160930.2393436,2,2,1
1,1752160930.340679,2,0,0
1,1752160930.4420662,2,1,0
1,1752160930.5440254,2,2,1
1,1752160930.6453512,2,0,0
1,1752160930.7466583,2,1,0
1,1752160930.8490832,2,2,1
1,1752160930.9501193,2,1,0
1,1752160931.0515332,2,0,0
1,1752160931.1529403,2,1,0
1,1752160931.2542918,2,2,1
1,1752160931.355859,2,0,0
1,1752160931.4571478,2,2,1
1,1752160931.557797,2,1,0
1,1752160931.6597977,2,0,0
1,1752160931.7611516,2,0,0
1,1752160931.8613043,2,2,1
1,1752160931.9632401,2,1,0
1,1752160932.0647616,2,1,0
1,1752160932.1666741,2,2,1
1,1752160932.2679052,2,0,0
1,1752160932.369918,2,0,0
1,1752160932.4713132,2,2,1
1,1752160932.5726907,2,1,0
1,1752160932.6740649,2,1,0
1,1752160932.775246,2,2,1
1,1752160932.876429,2,0,0
1,1752160932.9787183,2,1,0
1,1752160933.0791123,2,0,0
1,1752160933.1810052,2,2,1
2,1752160935.3376622,1,2,0
2,1752160935.4379358,1,1,1
2,1752160935.5398338,1,0,0
2,1752160935.6412308,1,2,0
2,1752160935.7426565,1,0,0
2,1752160935.8446314,1,1,1
2,1752160935.9459345,1,0,0
2,1752160936.0472715,1,1,1
2,1752160936.1476567,1,2,0
2,1752160936.2494767,1,1,1
2,1752160936.350484,1,0,0
2,1752160936.4518409,1,2,0
2,1752160936.553205,1,2,0
2,1752160936.6546938,1,0,0
2,1752160936.7559905,1,1,1
2,1752160936.8572452,1,1,1
2,1752160936.95764,1,2,0
2,1752160937.0596108,1,0,0
2,1752160937.16076,1,0,0
2,1752160937.2619128,1,2,0
2,1752160937.363281,1,1,1
2,1752160937.4647095,1,0,0
2,1752160937.565857,1,2,0
2,1752160937.6672497,1,1,1
2,1752160937.7675989,1,0,0
2,1752160937.869285,1,1,1
2,1752160937.9693308,1,2,0
2,1752160938.0711517,1,0,0
2,1752160938.1716053,1,2,0
2,1752160938.2729483,1,1,1
2,1752160938.3743515,1,2,0
2,1752160938.4756558,1,0,0
2,1752160938.5770223,1,1,1
2,1752160938.6774056,1,2,0
2,1752160938.7778308,1,1,1
2,1752160938.8798008,1,0,0
3,1752160940.3108869,2,0,0
3,1752160940.4111905,2,2,1
3,1752160940.512465,2,1,0
