trial,timestamp,target,stimulus,is_target
0,1752161369.0370102,0,1,0
0,1752161369.1370487,0,0,1
0,1752161369.2389703,0,2,0
0,1752161369.3402271,0,2,0
0,1752161369.4414418,0,0,1
0,1752161369.5432103,0,1,0
0,1752161369.6445491,0,0,1
0,1752161369.7462358,0,1,0
0,1752161369.8479548,0,2,0
0,1752161369.9493375,0,0,1
0,1752161370.0514717,0,2,0
0,1752161370.1520123,0,1,0
0,1752161370.2520611,0,0,1
0,1752161370.3532443,0,2,0
0,1752161370.4549093,0,1,0
0,1752161370.5551493,0,0,1
0,1752161370.6568851,0,2,0
0,1752161370.7588341,0,1,0
0,1752161370.8607168,0,1,0
0,1752161370.9624586,0,2,0
0,1752161371.064,0,0,1
0,1752161371.1654513,0,1,0
0,1752161371.2664678,0,2,0
0,1752161371.367477,0,0,1
0,1752161371.4686077,0,2,0
0,1752161371.5700288,0,1,0
0,1752161371.6714535,0,0,1
0,1752161371.7715766,0,0,1
0,1752161371.8726392,0,2,0
0,1752161371.9746299,0,1,0
0,1752161372.0758815,0,2,0
0,1752161372.1770535,0,1,0
0,1752161372.2784798,0,0,1
0,1752161372.3798044,0,0,1
0,1752161372.4816651,0,1,0
0,1752161372.5836403,0,2,0
1,1752161374.9415512,2,2,1
1,1752161375.0417514,2,0,0
1,1752161375.1429849,2,1,0
1,1752161375.2448714,2,0,0
1,1752161375.34597,2,2,1
1,1752161375.4474564,2,1,0
1,1752161375.5489793,2,2,1
1,1752161375.650474,2,0,0
1,1752161375.7517383,2,1,0
1,1752161375.8518348,2,1,0
1,1752161375.95381,2,0,0
1,1752161376.0549664,2,2,1
1,1752161376.1560736,2,2,1
1,1752161376.2574103,2,0,0
1,1752161376.3590958,2,1,0
1,1752161376.46146,2,2,1
1,1752161376.5627563,2,0,0
1,1752161376.664742,2,1,0
1,1752161376.7657843,2,0,0
1,1752161376.8673546,2,1,0
1,1752161376.9689183,2,2,1
1,1752161377.0705824,2,0,0
1,1752161377.1714876,2,2,1
1,1752161377.271582,2,1,0
1,1752161377.3732016,2,2,1
1,1752161377.4747195,2,0,0
1,1752161377.5764709,2,1,0
1,1752161377.6782265,2,2,1
1,1752161377.7789347,2,0,0
1,1752161377.8800848,2,1,0
1,1752161377.9806828,2,2,1
1,1752161378.0821586,2,1,0
1,1752161378.1838324,2,0,0
1,1752161378.2854567,2,1,0
1,1752161378.3868759,2,0,0
1,1752161378.48689,2,2,1
2,1752161380.4323957,1,0,0
2,1752161380.5332358,1,2,0
2,1752161380.6346781,1,1,1
2,1752161380.736257,1,0,0
2,1752161380.837398,1,1,1
2,1752161380.9376702,1,2,0
2,1752161381.039346,1,2,0
2,1752161381.1414866,1,0,0
2,1752161381.241724,1,1,1
2,1752161381.3435316,1,1,1
2,1752161381.44463,1,2,0
2,1752161381.5465498,1,0,0
2,1752161381.6482193,1,0,0
2,1752161381.7499206,1,2,0
2,1752161381.850408,1,1,1
2,1752161381.951481,1,2,0
2,1752161382.0525951,1,1,1
2,1752161382.1538725,1,0,0
2,1752161382.2558942,1,2,0
2,1752161382.3574076,1,0,0
2,1752161382.4587646,1,1,1
2,1752161382.559936,1,0,0
2,1752161382.660737,1,1,1
2,1752161382.762227,1,2,0
2,1752161382.8625393,1,2,0
2,1752161382.9642894,1,0,0
2,1752161383.0659566,1,1,1
2,1752161383.1677287,1,0,0
2,1752161383.2696862,1,2,0
2,1752161383.372136,1,1,1
2,1752161383.4722428,1,0,0
2,1752161383.574069,1,2,0
2,1752161383.675377,1,1,1
2,1752161383.7771351,1,0,0
2,1752161383.8788373,1,2,0
2,1752161383.9801347,1,1,1
3,1752161386.0339427,1,2,0
3,1752161386.1341422,1,1,1
3,1752161386.2354293,1,0,0
3,1752161386.3367872,1,1,1
3,1752161386.4387693,1,0,0
3,1752161386.5403564,1,2,0
3,1752161386.6420453,1,2,0
3,1752161386.7423508,1,1,1
3,1752161386.8439543,1,0,0
3,1752161386.945696,1,1,1
3,1752161387.0471866,1,2,0
3,1752161387.1487184,1,0,0
3,1752161387.2501533,1,2,0
3,1752161387.3502853,1,1,1
3,1752161387.45038,1,0,0
3,1752161387.5516975,1,2,0
3,1752161387.653504,1,0,0
3,1752161387.7547932,1,1,1
3,1752161387.8558326,1,2,0
3,1752161387.957235,1,1,1
3,1752161388.0576675,1,0,0
3,1752161388.1587543,1,1,1
3,1752161388.2592301,1,2,0
3,1752161388.3607113,1,0,0
3,1752161388.4626768,1,2,0
3,1752161388.563065,1,0,0
3,1752161388.6632903,1,1,1
3,1752161388.7649877,1,2,0
3,1752161388.8666387,1,1,1
3,1752161388.9679828,1,0,0
3,1752161389.0693262,1,0,0
3,1752161389.1714008,1,1,1
3,1752161389.2726476,1,2,0
3,1752161389.3745444,1,0,0
