trial,timestamp,target,stimulus,is_target
0,1752161890.620018,0,0,1
0,1752161890.7203982,0,1,0
0,1752161890.8217132,0,2,0
0,1752161890.923642,0,0,1
0,1752161891.0250123,0,1,0
0,1752161891.1260583,0,2,0
0,1752161891.2274141,0,2,0
0,1752161891.3287468,0,1,0
0,1752161891.429897,0,0,1
0,1752161891.5312846,0,1,0
0,1752161891.6325812,0,0,1
0,1752161891.7345078,0,2,0
0,1752161891.834917,0,2,0
0,1752161891.9362676,0,0,1
0,1752161892.0376956,0,1,0
0,1752161892.1388314,0,0,1
0,1752161892.2407858,0,2,0
0,1752161892.3426466,0,1,0
0,1752161892.4444394,0,2,0
0,1752161892.544816,0,1,0
0,1752161892.646234,0,0,1
0,1752161892.7476416,0,2,0
0,1752161892.8494985,0,1,0
0,1752161892.9508843,0,0,1
0,1752161893.0519407,0,1,0
0,1752161893.1529725,0,0,1
0,1752161893.254883,0,2,0
0,1752161893.355261,0,1,0
0,1752161893.456514,0,2,0
0,1752161893.557848,0,0,1
0,1752161893.6597238,0,2,0
0,1752161893.7610953,0,0,1
0,1752161893.8624299,0,1,0
0,1752161893.9627826,0,1,0
0,1752161894.0647104,0,0,1
0,1752161894.1660106,0,2,0
1,1752161895.6469548,1,1,1
1,1752161895.7473643,1,2,0
1,1752161895.8487926,1,0,0
1,1752161895.9500828,1,2,0
1,1752161896.0514462,1,0,0
1,1752161896.1538532,1,1,1
1,1752161896.2552717,1,0,0
1,1752161896.3566391,1,2,0
1,1752161896.4580112,1,1,1
1,1752161896.559334,1,0,0
1,1752161896.660653,1,1,1
1,1752161896.7620173,1,2,0
1,1752161896.8627756,1,1,1
1,1752161896.9647348,1,0,0
1,1752161897.066148,1,2,0
1,1752161897.1675286,1,0,0
1,1752161897.268894,1,2,0
1,1752161897.3702693,1,1,1
1,1752161897.471643,1,2,0
1,1752161897.5736606,1,0,0
1,1752161897.675081,1,1,1
1,1752161897.776198,1,2,0
1,1752161897.8774774,1,0,0
1,1752161897.9789174,1,1,1
1,1752161898.0802593,1,2,0
1,1752161898.1815085,1,0,0
1,1752161898.2829046,1,1,1
1,1752161898.3848546,1,1,1
1,1752161898.4862442,1,2,0
1,1752161898.5876594,1,0,0
1,1752161898.6889846,1,0,0
1,1752161898.7903173,1,1,1
1,1752161898.8917243,1,2,0
1,1752161898.9935887,1,2,0
1,1752161899.0940063,1,1,1
1,1752161899.1954224,1,0,0
2,1752161901.0375504,2,1,0
2,1752161901.1376362,2,2,1
2,1752161901.239619,2,0,0
2,1752161901.340698,2,1,0
2,1752161901.4417636,2,2,1
2,1752161901.5428712,2,0,0
2,1752161901.6438937,2,0,0
2,1752161901.7456353,2,1,0
2,1752161901.846703,2,2,1
2,1752161901.9478958,2,2,1
2,1752161902.0492961,2,0,0
2,1752161902.1511292,2,1,0
2,1752161902.2535985,2,1,0
2,1752161902.3540156,2,0,0
2,1752161902.4554358,2,2,1
2,1752161902.5568411,2,2,1
2,1752161902.6582696,2,1,0
2,1752161902.759357,2,0,0
2,1752161902.8606963,2,1,0
2,1752161902.9620547,2,2,1
2,1752161903.0622463,2,0,0
2,1752161903.1626565,2,2,1
2,1752161903.2644484,2,0,0
2,1752161903.3649113,2,1,0
2,1752161903.466176,2,1,0
2,1752161903.5675457,2,2,1
2,1752161903.6688552,2,0,0
2,1752161903.7699194,2,2,1
2,1752161903.8713322,2,0,0
2,1752161903.9727068,2,1,0
2,1752161904.0746796,2,2,1
2,1752161904.1760886,2,0,0
2,1752161904.2774203,2,1,0
2,1752161904.3788102,2,1,0
2,1752161904.4802482,2,2,1
2,1752161904.581663,2,0,0
3,1752161906.321857,1,0,0
3,1752161906.4221702,1,1,1
3,1752161906.5235183,1,2,0
3,1752161906.6238623,1,1,1
3,1752161906.7252426,1,2,0
3,1752161906.8265498,1,0,0
3,1752161906.9277227,1,2,0
3,1752161907.02874,1,0,0
3,1752161907.130361,1,1,1
3,1752161907.23166,1,2,0
3,1752161907.333508,1,1,1
3,1752161907.4347894,1,0,0
3,1752161907.535919,1,1,1
3,1752161907.636974,1,0,0
3,1752161907.7379718,1,2,0
3,1752161907.8390753,1,2,0
3,1752161907.9401362,1,0,0
3,1752161908.041982,1,1,1
3,1752161908.1422374,1,0,0
3,1752161908.2426908,1,1,1
3,1752161908.3438776,1,2,0
3,1752161908.4453237,1,0,0
3,1752161908.5467505,1,1,1
3,1752161908.6480274,1,2,0
3,1752161908.749477,1,0,0
3,1752161908.8513412,1,1,1
3,1752161908.952536,1,2,0
3,1752161909.0544477,1,2,0
3,1752161909.1549122,1,0,0
3,1752161909.2567267,1,1,1
3,1752161909.358571,1,1,1
3,1752161909.459967,1,0,0
3,1752161909.561367,1,2,0
3,1752161909.6626983,1,1,1
3,1752161909.7640278,1,2,0
3,1752161909.8653471,1,0,0
4,1752161911.2442272,2,1,0
4,1752161911.3450136,2,0,0
4,1752161911.446871,2,2,1
4,1752161911.5483305,2,2,1
4,1752161911.6502047,2,0,0
4,1752161911.7520247,2,1,0
4,1752161911.8528142,2,1,0
4,1752161911.954167,2,0,0
4,1752161912.0550385,2,2,1
4,1752161912.1567702,2,2,1
4,1752161912.2581172,2,0,0
4,1752161912.3592892,2,1,0
4,1752161912.4612827,2,1,0
4,1752161912.5625517,2,0,0
4,1752161912.6641395,2,2,1
4,1752161912.7643876,2,2,1
4,1752161912.8658164,2,1,0
4,1752161912.9671366,2,0,0
4,1752161913.068417,2,2,1
4,1752161913.1703086,2,1,0
4,1752161913.2715952,2,0,0
4,1752161913.3728697,2,0,0
4,1752161913.474712,2,2,1
4,1752161913.5766897,2,1,0
4,1752161913.6780288,2,0,0
4,1752161913.7793448,2,2,1
4,1752161913.8806875,2,1,0
4,1752161913.982073,2,2,1
4,1752161914.0820909,2,1,0
4,1752161914.1820977,2,0,0
4,1752161914.2821763,2,2,1
4,1752161914.3822277,2,1,0
4,1752161914.4837093,2,0,0
4,1752161914.5849454,2,0,0
4,1752161914.6860027,2,2,1
4,1752161914.7871184,2,1,0
5,1752161916.1122549,0,1,0
5,1752161916.212525,0,2,0
5,1752161916.3144789,0,0,1
5,1752161916.4147818,0,0,1
5,1752161916.5162091,0,2,0
5,1752161916.6175778,0,1,0
5,1752161916.7188811,0,0,1
5,1752161916.8202848,0,1,0
5,1752161916.921629,0,2,0
5,1752161917.0235226,0,2,0
5,1752161917.1239407,0,0,1
5,1752161917.2253263,0,1,0
5,1752161917.3267126,0,2,0
5,1752161917.4280899,0,0,1
5,1752161917.5300097,0,1,0
5,1752161917.6314507,0,1,0
5,1752161917.7327995,0,0,1
5,1752161917.8337872,0,2,0
5,1752161917.9345284,0,0,1
5,1752161918.0359178,0,2,0
5,1752161918.1373763,0,1,0
5,1752161918.2391117,0,2,0
5,1752161918.3405302,0,0,1
5,1752161918.441806,0,1,0
5,1752161918.543652,0,1,0
5,1752161918.645298,0,2,0
5,1752161918.7467558,0,0,1
5,1752161918.8481002,0,1,0
5,1752161918.9484825,0,0,1
5,1752161919.0497236,0,2,0
5,1752161919.150996,0,1,0
5,1752161919.25231,0,0,1
5,1752161919.3527088,0,2,0
5,1752161919.4545498,0,1,0
5,1752161919.555928,0,0,1
5,1752161919.656991,0,2,0
6,1752161920.9801466,1,1,1
6,1752161921.0809698,1,2,0
6,1752161921.1822014,1,0,0
6,1752161921.2822483,1,1,1
6,1752161921.382296,1,2,0
6,1752161921.482674,1,0,0
6,1752161921.584387,1,2,0
6,1752161921.6853366,1,1,1
6,1752161921.7867696,1,0,0
6,1752161921.8879976,1,0,0
6,1752161921.988782,1,2,0
6,1752161922.08928,1,1,1
6,1752161922.190714,1,2,0
6,1752161922.2919521,1,1,1
6,1752161922.3923447,1,0,0
6,1752161922.4927616,1,1,1
6,1752161922.5946393,1,2,0
6,1752161922.696587,1,0,0
6,1752161922.7985077,1,0,0
6,1752161922.899896,1,2,0
6,1752161923.0012927,1,1,1
6,1752161923.1016626,1,2,0
6,1752161923.202671,1,0,0
6,1752161923.3041005,1,1,1
6,1752161923.4054277,1,1,1
6,1752161923.506716,1,0,0
6,1752161923.6085858,1,2,0
6,1752161923.7087398,1,0,0
6,1752161923.8102412,1,1,1
6,1752161923.9106777,1,2,0
6,1752161924.0120504,1,2,0
6,1752161924.1124256,1,0,0
6,1752161924.212855,1,1,1
6,1752161924.3148248,1,2,0
6,1752161924.4162624,1,1,1
6,1752161924.517664,1,0,0
7,1752161925.9967616,2,1,0
7,1752161926.097002,2,2,1
7,1752161926.198812,2,0,0
7,1752161926.3001144,2,0,0
7,1752161926.4011617,2,2,1
7,1752161926.5024226,2,1,0
7,1752161926.6037562,2,0,0
7,1752161926.704874,2,2,1
7,1752161926.8059454,2,1,0
7,1752161926.907686,2,0,0
7,1752161927.009054,2,1,0
7,1752161927.1094341,2,2,1
7,1752161927.211473,2,2,1
7,1752161927.3128474,2,1,0
7,1752161927.4146202,2,0,0
7,1752161927.5158103,2,0,0
7,1752161927.6168795,2,2,1
7,1752161927.7185152,2,1,0
7,1752161927.819871,2,0,0
7,1752161927.9210327,2,2,1
7,1752161928.0224538,2,1,0
7,1752161928.123843,2,1,0
7,1752161928.2256007,2,2,1
7,1752161928.3270102,2,0,0
7,1752161928.4284194,2,0,0
7,1752161928.5298078,2,2,1
7,1752161928.6309588,2,1,0
7,1752161928.7328045,2,1,0
7,1752161928.834764,2,0,0
7,1752161928.9362001,2,2,1
7,1752161929.037613,2,2,1
7,1752161929.1390495,2,0,0
7,1752161929.2402787,2,1,0
7,1752161929.341631,2,0,0
7,1752161929.4435434,2,2,1
7,1752161929.5449476,2,1,0
8,1752161930.868404,0,0,1
8,1752161930.969367,0,2,0
8,1752161931.0712805,0,1,0
8,1752161931.1726289,0,0,1
8,1752161931.2746313,0,1,0
8,1752161931.3760056,0,2,0
8,1752161931.4780178,0,0,1
8,1752161931.579918,0,2,0
8,1752161931.681865,0,1,0
8,1752161931.7822387,0,1,0
8,1752161931.8826535,0,2,0
8,1752161931.9834642,0,0,1
8,1752161932.084828,0,1,0
8,1752161932.186642,0,0,1
8,1752161932.2880247,0,2,0
8,1752161932.3882408,0,2,0
8,1752161932.4892185,0,1,0
8,1752161932.5905967,0,0,1
8,1752161932.6917202,0,2,0
8,1752161932.7941964,0,0,1
8,1752161932.8945577,0,1,0
8,1752161932.9955618,0,2,0
8,1752161933.0966637,0,1,0
8,1752161933.1970189,0,0,1
8,1752161933.298458,0,1,0
8,1752161933.39952,0,2,0
8,1752161933.5005562,0,0,1
8,1752161933.6016214,0,2,0
8,1752161933.702663,0,1,0
8,1752161933.8042512,0,0,1
8,1752161933.9042976,0,0,1
8,1752161934.0053868,0,2,0
8,1752161934.1069875,0,1,0
8,1752161934.2083993,0,0,1
8,1752161934.3095448,0,2,0
8,1752161934.4104648,0,1,0
9,1752161935.7879982,2,0,0
9,1752161935.8889718,2,2,1
9,1752161935.9903946,2,1,0
9,1752161936.0917408,2,1,0
9,1752161936.1936083,2,0,0
9,1752161936.2940364,2,2,1
9,1752161936.3953092,2,0,0
9,1752161936.495719,2,2,1
9,1752161936.5971484,2,1,0
9,1752161936.6984901,2,2,1
9,1752161936.7997026,2,1,0
9,1752161936.9011195,2,0,0
9,1752161937.0023668,2,1,0
9,1752161937.1037629,2,0,0
9,1752161937.2047665,2,2,1
9,1752161937.3061025,2,1,0
9,1752161937.4083571,2,2,1
9,1752161937.5086048,2,0,0
9,1752161937.6100378,2,1,0
9,1752161937.710927,2,0,0
9,1752161937.8120053,2,2,1
9,1752161937.9124162,2,2,1
9,1752161938.0141063,2,1,0
9,1752161938.1144927,2,0,0
9,1752161938.2159443,2,1,0
9,1752161938.3173463,2,0,0
9,1752161938.4191666,2,2,1
9,1752161938.5204399,2,2,1
9,1752161938.6216867,2,1,0
9,1752161938.7236009,2,0,0
9,1752161938.8250227,2,2,1
9,1752161938.9264226,2,0,0
9,1752161939.027818,2,1,0
9,1752161939.1295981,2,2,1
9,1752161939.2309766,2,1,0
9,1752161939.3322113,2,0,0
10,1752161940.963438,1,1,1
10,1752161941.0637958,1,2,0
10,1752161941.1651683,1,0,0
10,1752161941.2665958,1,1,1
10,1752161941.3684523,1,0,0
10,1752161941.4698102,1,2,0
10,1752161941.5712252,1,1,1
10,1752161941.672554,1,2,0
10,1752161941.7745337,1,0,0
10,1752161941.876414,1,2,0
10,1752161941.9782782,1,0,0
10,1752161942.0800955,1,1,1
10,1752161942.1818883,1,2,0
