trial,timestamp,target,stimulus,is_target
0,1752423475.298492,2,0,0
0,1752423475.4999225,2,1,0
0,1752423475.7024055,2,2,1
0,1752423475.9044218,2,1,0
0,1752423476.106389,2,2,1
0,1752423476.3083756,2,0,0
0,1752423476.5098374,2,0,0
0,1752423476.7122958,2,1,0
0,1752423476.9147546,2,2,1
0,1752423477.1177185,2,2,1
0,1752423477.3201773,2,0,0
0,1752423477.5222366,2,1,0
0,1752423477.724795,2,2,1
0,1752423477.9267857,2,1,0
0,1752423478.129278,2,0,0
0,1752423478.331703,2,1,0
0,1752423478.5341632,2,2,1
0,1752423478.73662,2,0,0
0,1752423478.939663,2,2,1
0,1752423479.1420891,2,0,0
0,1752423479.3445961,2,1,0
0,1752423479.546594,2,2,1
0,1752423479.7490215,2,0,0
0,1752423479.9514782,2,1,0
0,1752423480.1544714,2,0,0
0,1752423480.3559494,2,2,1
0,1752423480.559379,2,1,0
0,1752423480.7613583,2,2,1
0,1752423480.964547,2,0,0
0,1752423481.1660302,2,1,0
0,1752423481.3684857,2,2,1
0,1752423481.5709713,2,1,0
0,1752423481.7734015,2,0,0
0,1752423481.9758756,2,2,1
0,1752423482.1793337,2,0,0
0,1752423482.3827882,2,1,0
1,1752423484.1573906,1,2,0
1,1752423484.358344,1,1,1
1,1752423484.560331,1,0,0
1,1752423484.7621133,1,0,0
1,1752423484.9650905,1,1,1
1,1752423485.1675484,1,2,0
1,1752423485.370518,1,1,1
1,1752423485.5739741,1,2,0
1,1752423485.776938,1,0,0
1,1752423485.9784248,1,1,1
1,1752423486.1814127,1,0,0
1,1752423486.384396,1,2,0
1,1752423486.5854955,1,1,1
1,1752423486.7889535,1,0,0
1,1752423486.991162,1,2,0
1,1752423487.1936204,1,1,1
1,1752423487.3960295,1,2,0
1,1752423487.5984895,1,0,0
1,1752423487.801943,1,0,0
1,1752423488.0039096,1,2,0
1,1752423488.2063816,1,1,1
1,1752423488.4098737,1,1,1
1,1752423488.611306,1,2,0
1,1752423488.813765,1,0,0
1,1752423489.0160742,1,0,0
1,1752423489.218529,1,2,0
1,1752423489.4209874,1,1,1
1,1752423489.6235433,1,1,1
1,1752423489.8256047,1,0,0
1,1752423490.0290039,1,2,0
1,1752423490.230492,1,2,0
1,1752423490.4329233,1,0,0
1,1752423490.6361156,1,1,1
1,1752423490.8385687,1,2,0
1,1752423491.0400655,1,0,0
1,1752423491.2420363,1,1,1
2,1752423492.9681377,0,2,0
2,1752423493.1691248,0,1,0
2,1752423493.3715851,0,0,1
2,1752423493.5740433,0,0,1
2,1752423493.7765005,0,2,0
2,1752423493.9789593,0,1,0
2,1752423494.1814182,0,1,0
2,1752423494.382879,0,2,0
2,1752423494.58544,0,0,1
2,1752423494.7897458,0,1,0
2,1752423494.9912071,0,2,0
2,1752423495.1936655,0,0,1
2,1752423495.395711,0,2,0
2,1752423495.5981655,0,0,1
2,1752423495.801621,0,1,0
2,1752423496.0037465,0,2,0
2,1752423496.206675,0,0,1
2,1752423496.41017,0,1,0
2,1752423496.6121407,0,1,0
2,1752423496.8155947,0,2,0
2,1752423497.0170555,0,0,1
2,1752423497.2195158,0,0,1
2,1752423497.4220076,0,1,0
2,1752423497.6244588,0,2,0
2,1752423497.8274455,0,1,0
2,1752423498.030902,0,2,0
2,1752423498.232393,0,0,1
2,1752423498.4348226,0,2,0
2,1752423498.6372797,0,0,1
2,1752423498.8397384,0,1,0
2,1752423499.0421963,0,0,1
2,1752423499.2456527,0,1,0
2,1752423499.447602,0,2,0
2,1752423499.6500607,0,1,0
2,1752423499.8525188,0,0,1
2,1752423500.0559752,0,2,0
3,1752423501.884244,1,1,1
3,1752423502.0868464,1,2,0
3,1752423502.2893047,1,0,0
3,1752423502.4917634,1,1,1
3,1752423502.6942213,1,2,0
3,1752423502.896191,1,0,0
3,1752423503.0986466,1,1,1
3,1752423503.3011048,1,0,0
3,1752423503.5025663,1,2,0
3,1752423503.7065275,1,2,0
3,1752423503.908027,1,1,1
3,1752423504.1095288,1,0,0
3,1752423504.3119886,1,1,1
3,1752423504.5144458,1,2,0
3,1752423504.7169044,1,0,0
3,1752423504.919363,1,2,0
3,1752423505.1218982,1,0,0
3,1752423505.3243241,1,1,1
3,1752423505.5287833,1,0,0
3,1752423505.730846,1,2,0
3,1752423505.9333048,1,1,1
3,1752423506.1368415,1,1,1
3,1752423506.3402994,1,2,0
3,1752423506.5432782,1,0,0
3,1752423506.7442365,1,2,0
3,1752423506.946202,1,0,0
3,1752423507.1491673,1,1,1
3,1752423507.3506286,1,1,1
3,1752423507.5534232,1,2,0
3,1752423507.7558823,1,0,0
3,1752423507.9583414,1,1,1
3,1752423508.161828,1,2,0
3,1752423508.3632576,1,0,0
3,1752423508.5652475,1,0,0
3,1752423508.7677062,1,1,1
3,1752423508.9707193,1,2,0
4,1752423510.801932,2,1,0
4,1752423511.003394,2,2,1
4,1752423511.2057865,2,0,0
4,1752423511.4074495,2,1,0
4,1752423511.6104476,2,0,0
4,1752423511.8128734,2,2,1
4,1752423512.015107,2,0,0
4,1752423512.217562,2,2,1
4,1752423512.4200468,2,1,0
4,1752423512.6225047,2,2,1
4,1752423512.8249364,2,1,0
4,1752423513.0279055,2,0,0
4,1752423513.2298746,2,2,1
4,1752423513.4323325,2,0,0
4,1752423513.6343617,2,1,0
4,1752423513.8368187,2,0,0
4,1752423514.039244,2,2,1
4,1752423514.2422557,2,1,0
4,1752423514.4452634,2,2,1
4,1752423514.6472466,2,1,0
4,1752423514.849792,2,0,0
4,1752423515.0517495,2,0,0
4,1752423515.2552056,2,1,0
4,1752423515.4566674,2,2,1
4,1752423515.6591592,2,2,1
4,1752423515.8615837,2,1,0
4,1752423516.0646675,2,0,0
4,1752423516.2671177,2,0,0
4,1752423516.4688714,2,2,1
4,1752423516.6703324,2,1,0
4,1752423516.8727903,2,2,1
4,1752423517.07576,2,1,0
4,1752423517.2782192,2,0,0
4,1752423517.4801846,2,2,1
4,1752423517.682193,2,0,0
4,1752423517.8851733,2,1,0
5,1752423519.866561,0,1,0
5,1752423520.0683887,0,0,1
5,1752423520.2714033,0,2,0
5,1752423520.47448,0,1,0
5,1752423520.6759274,0,0,1
5,1752423520.878387,0,2,0
5,1752423521.0798466,0,1,0
5,1752423521.2823074,0,0,1
5,1752423521.4847646,0,2,0
5,1752423521.688221,0,0,1
5,1752423521.891677,0,2,0
5,1752423522.0948875,0,1,0
5,1752423522.2973664,0,1,0
5,1752423522.499823,0,2,0
5,1752423522.7032797,0,0,1
5,1752423522.9047396,0,2,0
5,1752423523.1081963,0,0,1
5,1752423523.3111606,0,1,0
5,1752423523.5146334,0,2,0
5,1752423523.7165923,0,0,1
5,1752423523.9190483,0,1,0
5,1752423524.1210303,0,1,0
5,1752423524.3234868,0,0,1
5,1752423524.5254695,0,2,0
5,1752423524.727925,0,0,1
5,1752423524.930418,0,1,0
5,1752423525.1328418,0,2,0
5,1752423525.3353004,0,0,1
5,1752423525.5372674,0,1,0
5,1752423525.7402842,0,2,0
5,1752423525.943291,0,0,1
5,1752423526.1451025,0,2,0
5,1752423526.3470714,0,1,0
5,1752423526.5495305,0,2,0
5,1752423526.7519882,0,0,1
5,1752423526.9554436,0,1,0
6,1752423528.7862349,2,1,0
6,1752423528.9882143,2,0,0
6,1752423529.1904213,2,2,1
6,1752423529.392882,2,1,0
6,1752423529.596465,2,0,0
6,1752423529.798924,2,2,1
6,1752423530.0013838,2,2,1
6,1752423530.202869,2,1,0
6,1752423530.4048154,2,0,0
