trial,timestamp,target,stimulus,is_target
0,1752428273.7595882,1,2,0
0,1752428273.9609852,1,0,0
0,1752428274.1628258,1,1,1
0,1752428274.3654678,1,2,0
0,1752428274.5694184,1,0,0
0,1752428274.7718933,1,1,1
0,1752428274.9750707,1,1,1
0,1752428275.178519,1,0,0
0,1752428275.3804624,1,2,0
0,1752428275.584082,1,1,1
0,1752428275.7872837,1,2,0
0,1752428275.9909575,1,0,0
0,1752428276.1928494,1,2,0
0,1752428276.3966362,1,0,0
0,1752428276.598624,1,1,1
0,1752428276.8008368,1,0,0
0,1752428277.0051005,1,2,0
0,1752428277.2065158,1,1,1
0,1752428277.4102557,1,1,1
0,1752428277.6129005,1,2,0
0,1752428277.8151994,1,0,0
0,1752428278.0165758,1,2,0
0,1752428278.218981,1,1,1
0,1752428278.4228034,1,0,0
0,1752428278.624677,1,0,0
0,1752428278.8263896,1,1,1
0,1752428279.0286605,1,2,0
0,1752428279.231995,1,1,1
0,1752428279.434724,1,2,0
0,1752428279.6360927,1,0,0
0,1752428279.838613,1,0,0
0,1752428280.0422556,1,2,0
0,1752428280.2449439,1,1,1
0,1752428280.447748,1,2,0
0,1752428280.6497424,1,1,1
0,1752428280.8523817,1,0,0
1,1752428283.4633572,2,2,1
1,1752428283.6644042,2,1,0
1,1752428283.8660626,2,0,0
1,1752428284.0683253,2,2,1
1,1752428284.2707207,2,0,0
1,1752428284.4731016,2,1,0
1,1752428284.6752117,2,0,0
1,1752428284.8781831,2,2,1
1,1752428285.0801141,2,1,0
1,1752428285.2818506,2,1,0
1,1752428285.4846284,2,2,1
1,1752428285.6881106,2,0,0
1,1752428285.8910382,2,2,1
1,1752428286.0923798,2,0,0
1,1752428286.2947984,2,1,0
1,1752428286.4980695,2,2,1
1,1752428286.6994915,2,1,0
1,1752428286.903614,2,0,0
1,1752428287.1067224,2,0,0
1,1752428287.3094563,2,2,1
1,1752428287.5114262,2,1,0
1,1752428287.714883,2,2,1
1,1752428287.9176292,2,1,0
1,1752428288.1188745,2,0,0
1,1752428288.321987,2,1,0
1,1752428288.5251884,2,2,1
