trial,timestamp,target,stimulus,is_target
0,1752762681.1165214,0,1,0
0,1752762681.3185139,0,2,0
0,1752762681.5212014,0,0,1
0,1752762681.72471,0,1,0
0,1752762681.9287841,0,0,1
0,1752762682.1327212,0,2,0
0,1752762682.335435,0,0,1
0,1752762682.5386717,0,1,0
0,1752762682.7414541,0,2,0
0,1752762682.9444144,0,0,1
0,1752762683.1480439,0,1,0
0,1752762683.3507586,0,2,0
0,1752762683.5536566,0,2,0
0,1752762683.7569199,0,0,1
0,1752762683.9609375,0,1,0
0,1752762684.1640308,0,2,0
0,1752762684.3665853,0,1,0
0,1752762684.5698228,0,0,1
0,1752762684.7732728,0,0,1
0,1752762684.976597,0,1,0
0,1752762685.1796703,0,2,0
0,1752762685.3839877,0,0,1
0,1752762685.587443,0,2,0
0,1752762685.7908995,0,1,0
0,1752762685.9943595,0,1,0
0,1752762686.1988096,0,0,1
0,1752762686.4017873,0,2,0
0,1752762686.6052434,0,1,0
0,1752762686.8077335,0,2,0
0,1752762687.0112057,0,0,1
0,1752762687.2146616,0,2,0
0,1752762687.4181175,0,0,1
0,1752762687.6212018,0,1,0
0,1752762687.8238547,0,1,0
0,1752762688.0269365,0,0,1
0,1752762688.230454,0,2,0
1,1752762689.945418,1,0,0
1,1752762690.149872,1,2,0
1,1752762690.3526762,1,1,1
1,1752762690.555795,1,0,0
1,1752762690.7597783,1,2,0
1,1752762690.9622257,1,1,1
1,1752762691.165219,1,2,0
1,1752762691.3683052,1,0,0
1,1752762691.5713632,1,1,1
1,1752762691.7744896,1,1,1
1,1752762691.9780836,1,2,0
1,1752762692.181461,1,0,0
1,1752762692.3857064,1,1,1
1,1752762692.588205,1,2,0
1,1752762692.7906098,1,0,0
1,1752762692.994024,1,1,1
1,1752762693.1977856,1,2,0
1,1752762693.401242,1,0,0
1,1752762693.6048055,1,2,0
1,1752762693.8082612,1,0,0
1,1752762694.0107198,1,1,1
1,1752762694.2137384,1,1,1
1,1752762694.416352,1,2,0
1,1752762694.6197972,1,0,0
1,1752762694.823244,1,2,0
1,1752762695.026701,1,0,0
1,1752762695.2306879,1,1,1
1,1752762695.4341462,1,1,1
1,1752762695.6381583,1,0,0
1,1752762695.8416152,1,2,0
1,1752762696.0444512,1,1,1
1,1752762696.2483478,1,2,0
1,1752762696.452369,1,0,0
1,1752762696.6558251,1,1,1
1,1752762696.8592808,1,2,0
1,1752762697.06204,1,0,0
2,1752762700.7438908,2,1,0
2,1752762700.9473467,2,0,0
2,1752762701.1498058,2,2,1
2,1752762701.3532755,2,2,1
2,1752762701.5567982,2,0,0
2,1752762701.759832,2,1,0
2,1752762701.9632778,2,2,1
2,1752762702.165861,2,1,0
2,1752762702.3693166,2,0,0
2,1752762702.5738554,2,1,0
2,1752762702.7768385,2,0,0
2,1752762702.9802577,2,2,1
2,1752762703.1837027,2,0,0
2,1752762703.387159,2,2,1
2,1752762703.5912468,2,1,0
2,1752762703.7947023,2,1,0
2,1752762703.998158,2,2,1
2,1752762704.2008984,2,0,0
2,1752762704.4043543,2,2,1
2,1752762704.607557,2,1,0
2,1752762704.8102982,2,0,0
2,1752762705.0139468,2,2,1
2,1752762705.2170043,2,1,0
2,1752762705.4205143,2,0,0
2,1752762705.6245577,2,0,0
2,1752762705.8280146,2,2,1
2,1752762706.0304728,2,1,0
2,1752762706.2342591,2,0,0
2,1752762706.4377155,2,2,1
2,1752762706.641761,2,1,0
2,1752762706.8452172,2,1,0
2,1752762707.0488544,2,0,0
2,1752762707.2528794,2,2,1
2,1752762707.456337,2,2,1
2,1752762707.659791,2,0,0
2,1752762707.8632474,2,1,0
3,1752762711.641775,0,0,1
3,1752762711.8442335,0,2,0
3,1752762712.0477552,0,1,0
3,1752762712.251212,0,0,1
3,1752762712.4546678,0,1,0
3,1752762712.6571271,0,2,0
3,1752762712.8615792,0,0,1
3,1752762713.0645707,0,1,0
3,1752762713.2676873,0,2,0
3,1752762713.471194,0,0,1
3,1752762713.6746,0,2,0
3,1752762713.8781018,0,1,0
3,1752762714.0805604,0,0,1
3,1752762714.2841363,0,2,0
3,1752762714.4876115,0,1,0
3,1752762714.6901112,0,2,0
3,1752762714.8945572,0,0,1
3,1752762715.0980127,0,1,0
3,1752762715.3014698,0,1,0
3,1752762715.504924,0,2,0
3,1752762715.7083802,0,0,1
3,1752762715.9118366,0,2,0
3,1752762716.115034,0,0,1
3,1752762716.3185604,0,1,0
3,1752762716.5215662,0,0,1
3,1752762716.725023,0,2,0
3,1752762716.9287047,0,1,0
3,1752762717.1317534,0,0,1
3,1752762717.335427,0,1,0
3,1752762717.5388823,0,2,0
3,1752762717.7423384,0,1,0
3,1752762717.9451375,0,0,1
3,1752762718.147595,0,2,0
3,1752762718.351108,0,0,1
3,1752762718.5535643,0,2,0
3,1752762718.7580473,0,1,0
4,1752762719.815912,2,0,0
4,1752762720.0194395,2,1,0
4,1752762720.2228956,2,2,1
4,1752762720.4283478,2,0,0
4,1752762720.631335,2,1,0
4,1752762720.8337932,2,2,1
4,1752762721.0365329,2,0,0
4,1752762721.2391727,2,1,0
4,1752762721.4416318,2,2,1
4,1752762721.6447928,2,2,1
4,1752762721.8482485,2,1,0
4,1752762722.0503051,2,0,0
4,1752762722.2537532,2,2,1
4,1752762722.4572394,2,0,0
4,1752762722.6602166,2,1,0
4,1752762722.8641899,2,0,0
4,1752762723.0676472,2,2,1
4,1752762723.2709692,2,1,0
4,1752762723.4744143,2,0,0
4,1752762723.677592,2,2,1
4,1752762723.8818557,2,1,0
4,1752762724.0863094,2,2,1
4,1752762724.2897654,2,0,0
4,1752762724.493221,2,1,0
4,1752762724.6966774,2,0,0
4,1752762724.9002972,2,1,0
4,1752762725.1033072,2,2,1
4,1752762725.3068998,2,2,1
4,1752762725.509873,2,1,0
4,1752762725.7148585,2,0,0
4,1752762725.9183135,2,2,1
4,1752762726.1217694,2,0,0
4,1752762726.325226,2,1,0
4,1752762726.5276868,2,2,1
4,1752762726.731269,2,0,0
4,1752762726.9349709,2,1,0
5,1752762727.9922178,1,1,1
5,1752762728.1966727,1,0,0
5,1752762728.4011235,1,2,0
5,1752762728.6035833,1,1,1
5,1752762728.806123,1,0,0
5,1752762729.0095787,1,2,0
5,1752762729.2130804,1,1,1
5,1752762729.4164913,1,0,0
5,1752762729.6199465,1,2,0
5,1752762729.823118,1,0,0
5,1752762730.0271676,1,1,1
5,1752762730.232624,1,2,0
5,1752762730.4366083,1,2,0
5,1752762730.6390674,1,0,0
5,1752762730.843521,1,1,1
5,1752762731.046978,1,2,0
5,1752762731.2514296,1,0,0
5,1752762731.4548862,1,1,1
5,1752762731.6583416,1,1,1
5,1752762731.8602602,1,0,0
5,1752762732.06368,1,2,0
5,1752762732.2668178,1,1,1
5,1752762732.4702733,1,2,0
5,1752762732.6732378,1,0,0
5,1752762732.8756967,1,1,1
5,1752762733.0791528,1,2,0
5,1752762733.2831933,1,0,0
5,1752762733.487175,1,0,0
5,1752762733.6896327,1,1,1
5,1752762733.8928936,1,2,0
5,1752762734.095983,1,0,0
5,1752762734.3000042,1,2,0
5,1752762734.5034378,1,1,1
5,1752762734.7058969,1,1,1
5,1752762734.9099956,1,2,0
5,1752762735.1134412,1,0,0
6,1752762736.171182,2,2,1
6,1752762736.3736408,2,1,0
6,1752762736.5770972,2,0,0
6,1752762736.7805526,2,1,0
6,1752762736.9840093,2,2,1
6,1752762737.1874647,2,0,0
6,1752762737.3899236,2,2,1
6,1752762737.593237,2,0,0
6,1752762737.7966704,2,1,0
6,1752762737.9991288,2,0,0
6,1752762738.202587,2,2,1
6,1752762738.4060745,2,1,0
6,1752762738.608533,2,2,1
6,1752762738.8115175,2,1,0
6,1752762739.0149662,2,0,0
6,1752762739.2179945,2,2,1
6,1752762739.4214494,2,0,0
6,1752762739.624906,2,1,0
6,1752762739.8283613,2,1,0
6,1752762740.0318177,2,0,0
6,1752762740.2352743,2,2,1
6,1752762740.4392483,2,0,0
6,1752762740.6427045,2,2,1
6,1752762740.845395,2,1,0
6,1752762741.0501454,2,0,0
6,1752762741.2535894,2,1,0
6,1752762741.457045,2,2,1
6,1752762741.6605086,2,2,1
6,1752762741.8639483,2,0,0
6,1752762742.0669599,2,1,0
6,1752762742.2705915,2,0,0
6,1752762742.4735684,2,2,1
6,1752762742.6768641,2,1,0
6,1752762742.880325,2,2,1
6,1752762743.083781,2,0,0
6,1752762743.2880418,2,1,0
7,1752762744.3458002,1,1,1
7,1752762744.5490043,1,2,0
7,1752762744.7519963,1,0,0
7,1752762744.956448,1,2,0
7,1752762745.159921,1,0,0
7,1752762745.3635023,1,1,1
7,1752762745.5689528,1,2,0
7,1752762745.7734075,1,0,0
7,1752762745.976435,1,1,1
7,1752762746.179434,1,1,1
7,1752762746.382541,1,0,0
7,1752762746.5859969,1,2,0
7,1752762746.7897756,1,1,1
7,1752762746.9931324,1,0,0
7,1752762747.1956859,1,2,0
7,1752762747.3981447,1,0,0
7,1752762747.6016011,1,1,1
7,1752762747.8060539,1,2,0
7,1752762748.0095105,1,2,0
7,1752762748.2125165,1,0,0
7,1752762748.416131,1,1,1
7,1752762748.618921,1,0,0
7,1752762748.8219182,1,1,1
7,1752762749.0249023,1,2,0
7,1752762749.2280796,1,1,1
7,1752762749.4304457,1,2,0
7,1752762749.6346679,1,0,0
7,1752762749.8371277,1,0,0
7,1752762750.0404532,1,2,0
7,1752762750.2433257,1,1,1
7,1752762750.4458976,1,2,0
7,1752762750.6498437,1,0,0
7,1752762750.8533003,1,1,1
7,1752762751.056921,1,0,0
7,1752762751.2601395,1,2,0
7,1752762751.4631305,1,1,1
8,1752762761.9185374,0,0,1
8,1752762762.1206179,0,1,0
8,1752762762.3242097,0,2,0
8,1752762762.5282362,0,2,0
8,1752762762.7316928,0,1,0
8,1752762762.9351478,0,0,1
8,1752762763.13842,0,2,0
8,1752762763.3405573,0,1,0
8,1752762763.544874,0,0,1
8,1752762763.748533,0,2,0
8,1752762763.9519894,0,1,0
8,1752762764.1554453,0,0,1
8,1752762764.3589015,0,0,1
8,1752762764.5623577,0,1,0
8,1752762764.765352,0,2,0
8,1752762764.968367,0,2,0
8,1752762765.17158,0,0,1
8,1752762765.375036,0,1,0
8,1752762765.5782492,0,1,0
8,1752762765.7821856,0,2,0
8,1752762765.985714,0,0,1
8,1752762766.1891701,0,1,0
8,1752762766.3916368,0,0,1
8,1752762766.5959651,0,2,0
8,1752762766.7982986,0,1,0
8,1752762767.0008793,0,2,0
8,1752762767.2039883,0,0,1
8,1752762767.4069698,0,0,1
8,1752762767.6100328,0,1,0
8,1752762767.813781,0,2,0
8,1752762768.0167599,0,1,0
8,1752762768.2207406,0,2,0
8,1752762768.4231844,0,0,1
8,1752762768.6256423,0,0,1
8,1752762768.829099,0,1,0
8,1752762769.0326471,0,2,0
9,1752762771.8783867,1,0,0
9,1752762772.0821898,1,2,0
9,1752762772.2845988,1,1,1
9,1752762772.487057,1,1,1
9,1752762772.6900837,1,2,0
9,1752762772.8923488,1,0,0
9,1752762773.0963027,1,2,0
9,1752762773.3001697,1,1,1
9,1752762773.5034025,1,0,0
9,1752762773.7068584,1,1,1
9,1752762773.9103146,1,0,0
9,1752762774.113422,1,2,0
9,1752762774.3175492,1,1,1
9,1752762774.5204988,1,2,0
